"No.","Time","Source","Destination","Protocol","Length","Info"
"199","13.132040","192.168.43.209","192.168.43.92","DNS","552","Standard query response 0xd3cf A fs.microsoft.com CNAME prod.fs.microsoft.com.akadns.net CNAME fs-wildcard.microsoft.com.edgekey.net CNAME fs-wildcard.microsoft.com.edgekey.net.globalredir.akadns.net CNAME e16604.g.akamaiedge.net A 23.46.188.128 NS n2g.akamaiedge.net NS n7g.akamaiedge.net NS n3g.akamaiedge.net NS n1g.akamaiedge.net NS n0g.akamaiedge.net NS n5g.akamaiedge.net NS n4g.akamaiedge.net NS n6g.akamaiedge.net A 190.98.142.208 A 190.98.142.205 A 190.98.142.207 A 186.189.194.206 A 88.221.81.192 AAAA 2600:1480:e800::c0 A 190.98.142.182"
"200","13.132601","192.168.43.92","23.46.188.128","TCP","66","3136  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"201","13.302560","23.46.188.128","192.168.43.92","TCP","66","443  >  3136 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400 SACK_PERM WS=128"
"202","13.302731","192.168.43.92","23.46.188.128","TCP","54","3136  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"
"203","13.309694","192.168.43.92","23.46.188.128","TLSv1.3","344","Client Hello"
"204","13.486817","23.46.188.128","192.168.43.92","TCP","54","443  >  3136 [ACK] Seq=1 Ack=291 Win=64128 Len=0"
"205","13.495470","23.46.188.128","192.168.43.92","TLSv1.3","1454","Server Hello, Change Cipher Spec, Application Data"
"206","13.495796","23.46.188.128","192.168.43.92","TCP","1454","443  >  3136 [PSH, ACK] Seq=1401 Ack=291 Win=64128 Len=1400 [TCP segment of a reassembled PDU]"
"207","13.495918","192.168.43.92","23.46.188.128","TCP","54","3136  >  443 [ACK] Seq=291 Ack=2801 Win=65792 Len=0"
"208","13.496135","23.46.188.128","192.168.43.92","TCP","1350","443  >  3136 [PSH, ACK] Seq=2801 Ack=291 Win=64128 Len=1296 [TCP segment of a reassembled PDU]"
"209","13.498070","23.46.188.128","192.168.43.92","TCP","1454","443  >  3136 [ACK] Seq=4097 Ack=291 Win=64128 Len=1400 [TCP segment of a reassembled PDU]"
"210","13.498167","192.168.43.92","23.46.188.128","TCP","54","3136  >  443 [ACK] Seq=291 Ack=5497 Win=65792 Len=0"
"211","13.659406","23.46.188.128","192.168.43.92","TLSv1.3","644","Application Data, Application Data, Application Data"
"212","13.673127","192.168.43.92","23.46.188.128","TLSv1.3","134","Change Cipher Spec, Application Data"
"213","13.691567","192.168.43.92","23.46.188.128","TLSv1.3","237","Application Data"
"214","13.854456","23.46.188.128","192.168.43.92","TCP","54","443  >  3136 [ACK] Seq=6087 Ack=371 Win=64128 Len=0"
"215","13.855079","23.46.188.128","192.168.43.92","TLSv1.3","341","Application Data"
"216","13.855079","23.46.188.128","192.168.43.92","TLSv1.3","341","Application Data"
"217","13.855253","192.168.43.92","23.46.188.128","TCP","54","3136  >  443 [ACK] Seq=554 Ack=6661 Win=64512 Len=0"
"218","13.999564","40.126.24.81","192.168.43.92","TCP","1454","[TCP Retransmission] 443  >  3131 [ACK] Seq=1 Ack=289 Win=4194048 Len=1400"
"219","14.042257","192.168.43.92","40.126.24.81","TCP","66","3131  >  443 [ACK] Seq=289 Ack=1401 Win=524800 Len=0 SLE=2557 SRE=3957"
"220","14.230165","40.126.24.81","192.168.43.92","TCP","590","[TCP Retransmission] 443  >  3131 [ACK] Seq=1401 Ack=289 Win=4194048 Len=536"
"221","14.230165","40.126.24.81","192.168.43.92","TCP","590","[TCP Retransmission] 443  >  3131 [ACK] Seq=1937 Ack=289 Win=4194048 Len=536"
"222","14.230251","192.168.43.92","40.126.24.81","TCP","66","3131  >  443 [ACK] Seq=289 Ack=2473 Win=523776 Len=0 SLE=2557 SRE=3957"
"223","14.230874","40.126.24.81","192.168.43.92","TCP","590","[TCP Retransmission] 443  >  3131 [ACK] Seq=2473 Ack=289 Win=4194048 Len=536"
"224","14.242520","192.168.43.92","23.46.188.128","TCP","237","[TCP Retransmission] 3136  >  443 [PSH, ACK] Seq=371 Ack=6661 Win=64512 Len=183"
"225","14.274219","192.168.43.92","192.229.211.108","TCP","66","3137  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
